1 264 T(K)	P(Mpa)	rho(g/cm3)	D(cm2/s)	0.577124869	2.381951731	0.167727541	48.12771503	0.00801	0.497302	190.6	4.604
340.15	0.1	0.68004	3.07E-05	1973 ert dul 0
358.15	0.1	0.66611	3.81E-05	1973 ert dul 0
373.15	0.1	0.65276	4.34E-05	1973 ert dul 0
834.65	0.1	0.64301	4.97E-05	1973 ert dul 0
403.15	0.1	0.62683	6.01E-05	1973 ert dul 0
423.15	0.1	0.60866	7.01E-05	1973 ert dul 0
322.58	0.1	0.6942	0.00002375	1973 ert dul 0
303.03	0.1	0.70987	0.000018125	1973 ert dul 0
280.90	0.1	0.72745	0.00001375	1973 ert dul 0
263.15	0.1	0.7416	0.0000096	1973 ert dul 0
247.52	0.1	0.75414	7.33E-06	1973 ert dul 0
235.85	0.1	0.76361	5.33E-06	1973 ert dul 0
56 24 T(K)	P(Mpa)	r(g/cm3)	D(cm2/s)	0.403907303	0.712082017	0.047103156	28.26189355	0.609796	0.76347	618.5	2.123
303.3	30	0.74364	0.000011	Helbaek et al, J.Chem.Eng.Data, 1996							
303.3	40	0.74957	0.0000103	Helbaek et al, J.Chem.Eng.Data, 1996							
303.3	50	0.75511	0.0000095	Helbaek et al, J.Chem.Eng.Data, 1996							
333	30	0.72379	0.0000172	Helbaek et al, J.Chem.Eng.Data, 1996							
333	40	0.7305	0.0000157	Helbaek et al, J.Chem.Eng.Data, 1996							
333	50	0.73671	0.0000145	Helbaek et al, J.Chem.Eng.Data, 1996							
298.15	10	0.73413	0.00001235	Marbach, W. and H.G. Hertz,  Zeitschrift fur Physilalische Chemie, 193 19-90 (1996							
298.15	20	0.74089	0.0000113	Marbach, W. and H.G. Hertz,  Zeitschrift fur Physilalische Chemie, 193 19-90 (1996							
298.15	30	0.74713	0.0000102	Marbach, W. and H.G. Hertz,  Zeitschrift fur Physilalische Chemie, 193 19-90 (1996							
298.15	40	0.75293	0.00000949	Marbach, W. and H.G. Hertz,  Zeitschrift fur Physilalische Chemie, 193 19-90 (1996							
298.15	50	0.75836	0.00000861	Marbach, W. and H.G. Hertz,  Zeitschrift fur Physilalische Chemie, 193 19-90 (1996							
298.15	60	0.76347	0.00000812	Marbach, W. and H.G. Hertz,  Zeitschrift fur Physilalische Chemie, 193 19-90 (1996							
298.2	0.1	0.72643	0.0000131	Dullien et al, AIChE Journal, 1972							
440.42	0.1	0.609796	7.3E-05	Ertl And Dullien							
413.15	0.1	0.634869	0.000064	Ertl And Dullien							
393.15	0.1	0.652354	0.000053	Ertl And Dullien							
373.15	0.1	0.669197	0.000042	Ertl And Dullien							
353.15	0.1	0.685482	3.44444E-05	Ertl And Dullien							
328.15	0.1	0.705152	2.44444E-05	Ertl And Dullien							
313.15	0.1	0.71663	1.77778E-05	Ertl And Dullien							
298.15	0.1	0.727888	1.44444E-05	Ertl And Dullien							
273.15	0.1	0.746207	0.000009	Ertl And Dullien							
260.8	0.1	0.755071	0.000007	Ertl And Dullien							
249.8	0.1	0.762853	0.000005	Ertl And Dullien							
64 16 T(K)	P(Mpa)	r(g/cm3)	D(cm2/s)	0.399802492	0.65808265	0.054824561	32.89473684	0.643543	0.787024585	658.2	1.824
298.15	10	0.753778925	0.00000754	Marbach, W. and H.G. Hertz,  Zeitschridt fur Physilalische Chemie, 193 19-90 (1996							
298.15	20	0.761303153	0.00000668	Marbach, W. and H.G. Hertz,  Zeitschridt fur Physilalische Chemie, 193 19-90 (1996							
298.15	30	0.768325401	0.00000624	Marbach, W. and H.G. Hertz,  Zeitschridt fur Physilalische Chemie, 193 19-90 (1996							
298.15	40	0.774917046	0.00000553	Marbach, W. and H.G. Hertz,  Zeitschridt fur Physilalische Chemie, 193 19-90 (1996							
298.15	50	0.781134813	0.0000051	Marbach, W. and H.G. Hertz,  Zeitschridt fur Physilalische Chemie, 193 19-90 (1996							
298.15	60	0.787024585	0.00000474	Marbach, W. and H.G. Hertz,  Zeitschridt fur Physilalische Chemie, 193 19-90 (1996							
263.15	0.1	0.770288	0.0000042	1973 ert dul 0
278.86	0.1	0.759612	0.0000058	1973 ert dul 0
300.3	0.1	0.744784	0.000009	1973 ert dul 0
313.15	0.1	0.735727	0.000012	1973 ert dul 0
328.15	0.1	0.724994	1.63E-05	1973 ert dul 0
343.15	0.1	0.714072	1.89E-05	1973 ert dul 0
361.15	0.1	0.700693	2.44E-05	1973 ert dul 0
381.15	0.1	0.685445	3.11E-05	1973 ert dul 0
405.15	0.1	0.666548	3.78E-05	1973 ert dul 0
433.15	0.1	0.643543	0.000050	1973 ert dul 0
68 25 T(K)	P(Mpa)	r(g/cm3)	D(cm2/s)	0.413752429	0.483139051	0.070472163	196.7582805	0.7359	0.853	720.6	1.419
298.15	0.1	0.7703	0.00000378	Dymond, molecular physics 75, 461-466, 1992							
298.3	0.1	0.7703	0.0000038	Dymond, molecular physics 75, 461-466, 1992							
298.32	9.9	0.777	0.00000331	Dymond, molecular physics 75, 461-466, 1992							
298.33	18.8	0.7822	0.00000306	Dymond, molecular physics 75, 461-466, 1992							
323.15	27.3	0.7876	0.00000275	Dymond, molecular physics 75, 461-466, 1992							
323.15	0.1	0.7531	0.0000063	Dymond, molecular physics 75, 461-466, 1992							
323.15	0.1	0.7531	0.00000632	Dymond, molecular physics 75, 461-466, 1992							
323.15	0.1	0.7531	0.00000635	Dymond, molecular physics 75, 461-466, 1992							
323.15	23.4	0.7681	0.000005	Dymond, molecular physics 75, 461-466, 1992							
323.15	48.7	0.7835	0.00000392	Dymond, molecular physics 75, 461-466, 1992							
323.15	50.9	0.7846	0.00000382	Dymond, molecular physics 75, 461-466, 1992							
323.15	77.2	0.7967	0.00000311	Dymond, molecular physics 75, 461-466, 1992							
323.15	99.6	0.8064	0.00000252	Dymond, molecular physics 75, 461-466, 1992							
323.15	119.3	0.814	0.00000221	Dymond, molecular physics 75, 461-466, 1992							
322.91	141.7	0.822	0.00000189	Dymond, molecular physics 75, 461-466, 1992							
348.15	0.1	0.7359	0.00001	Dymond, molecular physics 75, 461-466, 1992							
348.15	25.2	0.7545	0.00000787	Dymond, molecular physics 75, 461-466, 1992							
348.15	52.7	0.7728	0.0000061	Dymond, molecular physics 75, 461-466, 1992							
348.15	74.9	0.7837	0.00000512	Dymond, molecular physics 75, 461-466, 1992							
348.15	99.7	0.7952	0.00000422	Dymond, molecular physics 75, 461-466, 1992							
348.15	100.4	0.7955	0.0000043	Dymond, molecular physics 75, 461-466, 1992							
348.15	148.3	0.8146	0.00000313	Dymond, molecular physics 75, 461-466, 1992							
348.15	199	0.8305	0.00000227	Dymond, molecular physics 75, 461-466, 1992							
348.15	245.8	0.844	0.00000173	Dymond, molecular physics 75, 461-466, 1992							
348.15	279.2	0.853	0.00000142	Dymond, molecular physics 75, 461-466, 1992							
2081 6 T(K)	P(Mpa)	r(g/cm3)	D(cm2/s)	0.406575829	0.525059242	0.125	0.125	0.721729743	0.780564463	844	0.8
343.15	0.1	0.780564463	2.04174E-06	J. Chem. Phys. 1998, 108, 4299-4304							
363.15	0.1	0.768042445	3.16228E-06	J. Chem. Phys. 1998, 108, 4299-4304							
383.15	0.1	0.755915848	4.67735E-06	J. Chem. Phys. 1998, 108, 4299-4304							
403.15	0.1	0.744166231	6.30957E-06	J. Chem. Phys. 1998, 108, 4299-4304							
423.15	0.1	0.732776284	8.51138E-06	J. Chem. Phys. 1998, 108, 4299-4304							
443.15	0.1	0.721729743	1.09648E-05	J. Chem. Phys. 1998, 108, 4299-4304							
8657 4 T(K)	P(Mpa)	r(g/cm3)	D(cm2/s)	0.399024429	0.461510311	0.225804208	0.225804208	0.752719624	0.784704634	960.216899	0.442861543
383.15	0.1	0.784704634	1.04713E-06	J. Chem. Phys. 1998, 108, 4299-4304							
403.15	0.1	0.773745154	1.54882E-06	J. Chem. Phys. 1998, 108, 4299-4304							
423.15	0.1	0.763087587	2.18776E-06	J. Chem. Phys. 1998, 108, 4299-4304							
443.15	0.1	0.752719624	2.95121E-06	J. Chem. Phys. 1998, 108, 4299-4304							
902 27 T(K)	P(Mpa)	density(g/cm3)	D(cm2/s)	0.771	8.828	0.538	15.017	0.010602624	0.078459414	33.19	1.313
36.2	1.141	0.0106	0.002104762	1964 har lip 0
36.2	1.706	0.0233	0.00095671	1964 har lip 0
36.2	1.902	0.0318	0.000762302	1964 har lip 0
36.2	1.999	0.0360	0.000654762	1964 har lip 0
36.2	2.077	0.0387	0.000587736	1964 har lip 0
36.2	2.267	0.0429	0.000539683	1964 har lip 0
36.2	2.542	0.0467	0.000473755	1964 har lip 0
36.2	2.834	0.0493	0.000461342	1964 har lip 0
36.2	3.237	0.0520	0.000433673	1964 har lip 0
36.2	4.044	0.0557	0.000381633	1964 har lip 0
36.2	4.670	0.0578	0.000349061	1964 har lip 0
36.2	6.132	0.0615	0.000314039	1964 har lip 0
36.2	8.537	0.0657	0.000267665	1964 har lip 0
36.2	10.543	0.0684	0.00024474	1964 har lip 0
36.2	13.021	0.0710	0.000229566	1964 har lip 0
36.2	16.051	0.0737	0.000206749	1964 har lip 0
36.2	18.930	0.0758	0.000181152	1964 har lip 0
25.6	0.434	0.0641	0.000220779	1964 har lip 0
25.6	0.989	0.0657	0.000195853	1964 har lip 0
25.6	2.018	0.0679	0.000183408	1964 har lip 0
25.6	2.657	0.0689	0.000174359	1964 har lip 0
25.6	3.378	0.0700	0.000168651	1964 har lip 0
25.6	4.182	0.0710	0.000157072	1964 har lip 0
25.6	7.092	0.0742	0.000144558	1964 har lip 0
25.6	8.227	0.0753	0.00013397	1964 har lip 0
25.6	10.746	0.0774	0.000124755	1964 har lip 0
25.6	12.129	0.0785	0.000109395	1964 har lip 0
909 65 T(K)	P(MPa)	density(g/cm3)	D(cm2/s)	0.898	1.144	0.014	0.675	0.016791	1.0851	304.21	7.383
273.15	1.034	0.0216	8.00E-03	Etesse, zega, Kobayashi, JCP, 1992.							
273.15	2.086	0.0480	3.51E-03	Etesse, zega, Kobayashi, JCP, 1992.							
273.15	3.210	0.0855	2.00E-03	Etesse, zega, Kobayashi, JCP, 1992.							
273.15	5.536	0.9447	1.35E-04	Etesse, zega, Kobayashi, JCP, 1992.							
273.15	6.895	0.9546	1.30E-04	Etesse, zega, Kobayashi, JCP, 1992.							
273.15	13.721	0.9935	1.17E-04	Etesse, zega, Kobayashi, JCP, 1992.							
273.15	20.891	1.0239	1.07E-04	Etesse, zega, Kobayashi, JCP, 1992.							
273.15	27.027	1.0451	1.00E-04	Etesse, zega, Kobayashi, JCP, 1992.							
273.15	34.612	1.0675	9.50E-05	Etesse, zega, Kobayashi, JCP, 1992.							
273.15	41.506	1.0851	9.10E-05	Etesse, zega, Kobayashi, JCP, 1992.							
298.15	1.034	0.0194	9.51E-03	Etesse, zega, Kobayashi, JCP, 1992.							
298.15	2.068	0.0413	4.40E-03	Etesse, zega, Kobayashi, JCP, 1992.							
298.15	2.448	0.0502	3.73E-03	Etesse, zega, Kobayashi, JCP, 1992.							
298.15	3.503	0.0781	2.54E-03	Etesse, zega, Kobayashi, JCP, 1992.							
298.15	4.254	0.1021	1.83E-03	Etesse, zega, Kobayashi, JCP, 1992.							
298.15	4.668	0.1175	1.59E-03	Etesse, zega, Kobayashi, JCP, 1992.							
298.15	4.826	0.1240	1.52E-03	Etesse, zega, Kobayashi, JCP, 1992.							
298.15	5.667	0.1669	1.10E-03	Etesse, zega, Kobayashi, JCP, 1992.							
298.15	6.205	0.2114	8.96E-04	Etesse, zega, Kobayashi, JCP, 1992.							
298.15	6.240	0.2154	9.13E-04	Etesse, zega, Kobayashi, JCP, 1992.							
298.15	6.419	0.7133	8.08E-04	Etesse, zega, Kobayashi, JCP, 1992.							
298.15	6.812	0.7370	2.18E-04	Etesse, zega, Kobayashi, JCP, 1992.							
298.15	13.789	0.8660	1.65E-04	Etesse, zega, Kobayashi, JCP, 1992.							
298.15	20.684	0.9193	1.47E-04	Etesse, zega, Kobayashi, JCP, 1992.							
298.15	27.579	0.9562	1.34E-04	Etesse, zega, Kobayashi, JCP, 1992.							
298.15	34.474	0.9851	1.25E-04	Etesse, zega, Kobayashi, JCP, 1992.							
298.15	41.368	1.0092	1.16E-04	Etesse, zega, Kobayashi, JCP, 1992.							
298.15	48.200	1.0297	1.10E-04	Etesse, zega, Kobayashi, JCP, 1992.							
323.15	1.034	0.0176	1.10E-02	Etesse, zega, Kobayashi, JCP, 1992.							
323.15	2.068	0.0369	5.41E-03	Etesse, zega, Kobayashi, JCP, 1992.							
323.15	3.399	0.0648	3.10E-03	Etesse, zega, Kobayashi, JCP, 1992.							
323.15	4.826	0.1001	1.96E-03	Etesse, zega, Kobayashi, JCP, 1992.							
323.15	6.391	0.1487	1.40E-03	Etesse, zega, Kobayashi, JCP, 1992.							
323.15	7.239	0.1821	1.20E-03	Etesse, zega, Kobayashi, JCP, 1992.							
323.15	8.481	0.2477	8.75E-04	Etesse, zega, Kobayashi, JCP, 1992.							
323.15	10.135	0.4006	5.23E-04	Etesse, zega, Kobayashi, JCP, 1992.							
323.15	10.990	0.5016	4.08E-04	Etesse, zega, Kobayashi, JCP, 1992.							
323.15	13.652	0.6608	2.87E-04	Etesse, zega, Kobayashi, JCP, 1992.							
323.15	20.615	0.7916	2.16E-04	Etesse, zega, Kobayashi, JCP, 1992.							
323.15	27.441	0.8531	1.89E-04	Etesse, zega, Kobayashi, JCP, 1992.							
323.15	34.336	0.8957	1.71E-04	Etesse, zega, Kobayashi, JCP, 1992.							
323.15	41.162	0.9284	1.56E-04	Etesse, zega, Kobayashi, JCP, 1992.							
323.15	48.263	0.9563	1.48E-04	Etesse, zega, Kobayashi, JCP, 1992.							
348.15	1.069	0.0168	1.30E-02	Etesse, zega, Kobayashi, JCP, 1992.							
348.15	2.068	0.0336	6.30E-03	Etesse, zega, Kobayashi, JCP, 1992.							
348.15	3.844	0.0664	3.25E-03	Etesse, zega, Kobayashi, JCP, 1992.							
348.15	4.985	0.0901	2.33E-03	Etesse, zega, Kobayashi, JCP, 1992.							
348.15	6.391	0.1228	1.73E-03	Etesse, zega, Kobayashi, JCP, 1992.							
348.15	7.067	0.1403	1.53E-03	Etesse, zega, Kobayashi, JCP, 1992.							
348.15	9.115	0.2018	1.13E-03	Etesse, zega, Kobayashi, JCP, 1992.							
348.15	11.514	0.2959	7.81E-04	Etesse, zega, Kobayashi, JCP, 1992.							
348.15	13.789	0.4057	5.51E-04	Etesse, zega, Kobayashi, JCP, 1992.							
348.15	15.858	0.5002	4.50E-04	Etesse, zega, Kobayashi, JCP, 1992.							
348.15	20.408	0.6351	3.22E-04	Etesse, zega, Kobayashi, JCP, 1992.							
348.15	27.234	0.7387	2.65E-04	Etesse, zega, Kobayashi, JCP, 1992.							
348.15	34.267	0.8022	2.27E-04	Etesse, zega, Kobayashi, JCP, 1992.							
348.15	41.368	0.8478	2.02E-04	Etesse, zega, Kobayashi, JCP, 1992.							
348.15	49.848	0.8894	1.84E-04	Etesse, zega, Kobayashi, JCP, 1992.							
295.67	7.002	0.7793	1.97E-04	Robinson & Stewart, IECFun  (1968),  7(1),  90-5.  							
295.67	11.065	0.8514	1.86E-04	Robinson & Stewart, IECFun  (1968),  7(1),  90-5.  							
295.67	14.773	0.8883	1.59E-04	Robinson & Stewart, IECFun  (1968),  7(1),  90-5.  							
295.67	18.472	0.9159	1.56E-04	Robinson & Stewart, IECFun  (1968),  7(1),  90-5.  							
273.77	7.376	0.9544	1.18E-04	Robinson & Stewart, IECFun  (1968),  7(1),  90-5.  							
273.77	7.376	0.9544	1.17E-04	Robinson & Stewart, IECFun  (1968),  7(1),  90-5.  							
273.77	14.753	0.9957	1.00E-04	Robinson & Stewart, IECFun  (1968),  7(1),  90-5.  							
914 10 T(K)	P(MPa)	density(g/cc)	D(cm2/s)	1.811	2.138	0.015	0.848	0.0004216	0.02006	150.86	4.898
322.55	6.890	0.10387	2.72E-03	Miffin, T. R. and Bennett, C. O. (1958) Self-di¤usion in argon to 300 atmospheres. J. Chem. Phys. 29,975.							
322.55	8.998	0.13663	1.94E-03	Miffin, T. R. and Bennett, C. O. (1958) Self-di¤usion in argon to 300 atmospheres. J. Chem. Phys. 29,975.							
322.55	15.320	0.23371	1.45E-03	Miffin, T. R. and Bennett, C. O. (1958) Self-di¤usion in argon to 300 atmospheres. J. Chem. Phys. 29,975.							
322.55	24.622	0.36834	8.75E-04	Miffin, T. R. and Bennett, C. O. (1958) Self-di¤usion in argon to 300 atmospheres. J. Chem. Phys. 29,975.							
322.55	9.626	0.11466	2.70E-03	Miffin, T. R. and Bennett, C. O. (1958) Self-di¤usion in argon to 300 atmospheres. J. Chem. Phys. 29,975.							
322.55	11.926	0.18177	1.61E-03	Miffin, T. R. and Bennett, C. O. (1958) Self-di¤usion in argon to 300 atmospheres. J. Chem. Phys. 29,975.							
322.55	19.657	0.29843	9.50E-04	Miffin, T. R. and Bennett, C. O. (1958) Self-di¤usion in argon to 300 atmospheres. J. Chem. Phys. 29,975.							
322.55	29.486	0.43266	6.59E-04	Miffin, T. R. and Bennett, C. O. (1958) Self-di¤usion in argon to 300 atmospheres. J. Chem. Phys. 29,975.							
322.55	15.857	0.24210	1.15E-03	Miffin, T. R. and Bennett, C. O. (1958) Self-di¤usion in argon to 300 atmospheres. J. Chem. Phys. 29,975.							
322.55	24.318	0.36394	5.95E-04	Miffin, T. R. and Bennett, C. O. (1958) Self-di¤usion in argon to 300 atmospheres. J. Chem. Phys. 29,975.							
201 85 T(K)	P(Mpa)	density(g/cm3)	D(cm2/s)	0.436	1.410	0.405	53.991	0.000007939	0.00232258	282.34	5.041
298.15	5.837	0.1261	1.14E-03	Arends et al., 1981.							
298.15	6.218	0.1513	9.37E-04	Arends et al., 1981.							
298.15	6.5047	0.1765	7.99E-04	Arends et al., 1981.							
298.15	6.7505	0.2018	6.89E-04	Arends et al., 1981.							
298.15	7.0041	0.227	6.21E-04	Arends et al., 1981.							
298.15	7.3244	0.2522	5.48E-04	Arends et al., 1981.							
298.15	7.7989	0.2774	4.95E-04	Arends et al., 1981.							
298.15	8.5662	0.3026	4.43E-04	Arends et al., 1981.							
298.15	9.842	0.3279	3.96E-04	Arends et al., 1981.							
298.15	11.9368	0.3531	3.47E-04	Arends et al., 1981.							
298.15	15.2687	0.3783	3.12E-04	Arends et al., 1981.							
298.15	20.3863	0.4035	2.74E-04	Arends et al., 1981.							
298.15	27.9693	0.4287	2.41E-04	Arends et al., 1981.							
298.15	38.8528	0.454	2.09E-04	Arends et al., 1981.							
298.15	54.0104	0.4792	1.82E-04	Arends et al., 1981.							
298.15	74.557	0.5044	1.56E-04	Arends et al., 1981.							
298.15	101.8811	0.5296	1.34E-04	Arends et al., 1981.							
298.15	137.4869	0.5548	1.17E-04	Arends et al., 1981.							
298.15	182.8468	0.5801	9.93E-05	Arends et al., 1981.							
273.15	4.5564	0.3531	3.21E-04	Arends et al., 1981.							
273.15	6.3446	0.3783	2.81E-04	Arends et al., 1981.							
273.15	9.6824	0.4035	2.50E-04	Arends et al., 1981.							
273.15	15.2485	0.4287	2.20E-04	Arends et al., 1981.							
273.15	23.8592	0.454	1.94E-04	Arends et al., 1981.							
273.15	36.494	0.4792	1.71E-04	Arends et al., 1981.							
273.15	54.2924	0.5044	1.44E-04	Arends et al., 1981.							
273.15	78.5682	0.5296	1.25E-04	Arends et al., 1981.							
273.15	110.9118	0.5548	1.06E-04	Arends et al., 1981.							
273.15	152.6983	0.5801	8.71E-05	Arends et al., 1981.							
273.15	205.627	0.6053	7.49E-05	Arends et al., 1981.							
273.15	272.1681	0.6305	6.28E-05	Arends et al., 1981.							
223.15	2.5	0.4848	1.31E-04	Arends et al., 1981.							
223.15	5	0.4906	1.29E-04	Arends et al., 1981.							
223.15	15	0.5093	1.14E-04	Arends et al., 1981.							
223.15	25	0.5238	1.06E-04	Arends et al., 1981.							
223.15	30	0.53	1.02E-04	Arends et al., 1981.							
223.15	40	0.541	9.51E-05	Arends et al., 1981.							
223.15	50	0.5505	8.68E-05	Arends et al., 1981.							
223.15	60.795	0.5596	8.17E-05	Arends et al., 1981.							
223.15	81.06	0.5743	7.20E-05	Arends et al., 1981.							
223.15	101.325	0.5868	6.59E-05	Arends et al., 1981.							
223.15	151.988	0.612	5.40E-05	Arends et al., 1981.							
223.15	202.65	0.632	4.49E-05	Arends et al., 1981.							
223.15	272.168	0.6543	3.65E-05	Arends et al., 1981.							
173.15	2.044	0.5647	5.764E-05	Arends et al., 1981.							
173.15	10.133	0.5722	5.411E-05	Arends et al., 1981.							
173.15	15	0.5767	5.168E-05	Arends et al., 1981.							
173.15	30	0.5887	4.663E-05	Arends et al., 1981.							
173.15	50	0.6039	4.133E-05	Arends et al., 1981.							
173.15	78.568	0.6199	3.532E-05	Arends et al., 1981.							
173.15	101.325	0.6306	3.131E-05	Arends et al., 1981.							
173.15	151.988	0.6504	2.562E-05	Arends et al., 1981.							
173.15	205.528	0.6672	2.10E-05	Arends et al., 1981.							
173.15	272.168	0.6846	1.675E-05	Arends et al., 1981.							
123.15	2.044	0.6328	1.72E-05	Arends et al., 1981.							
123.15	10.133	0.64	1.61E-05	Arends et al., 1981.							
123.15	20.265	0.6474	1.49E-05	Arends et al., 1981.							
123.15	35	0.6561	1.35E-05	Arends et al., 1981.							
123.15	54.292	0.6652	1.19E-05	Arends et al., 1981.							
123.15	78.668	0.6743	1.03E-05	Arends et al., 1981.							
123.15	101.325	0.6814	8.88E-06	Arends et al., 1981.							
123.15	113.991	0.6848	8.22E-06	Arends et al., 1981.							
123.15	119.76	0.6863	7.94E-06	Arends et al., 1981.							
123.15	120.07	0.6864	7.97E-06	Arends et al., 1981.							
398.15	6.2543	0.061224	2.32E-03	Baker, 1984.							
398.15	12.186	0.13469	1.32E-03	Baker, 1984.							
398.15	17.608	0.202	9.03E-04	Baker, 1984.							
398.15	25.803	0.275	5.97E-04	Baker, 1984.							
398.15	40.945	0.348	4.35E-04	Baker, 1984.							
398.15	72.915	0.422	3.23E-04	Baker, 1984.							
398.15	130.83	0.489	1.45E-04	Baker, 1984.							
373.15	5.6909	0.061224	2.32E-03	Baker, 1984.							
373.15	10.67	0.13469	1.16E-03	Baker, 1984.							
373.15	14.903	0.202	6.94E-04	Baker, 1984.							
373.15	21.25	0.275	5.16E-04	Baker, 1984.							
373.15	33.604	0.348	4.03E-04	Baker, 1984.							
373.15	61.397	0.422	2.90E-04	Baker, 1984.							
373.15	114.06	0.489	1.61E-04	Baker, 1984.							
348.15	5.121	0.061224	2.02E-03	Baker, 1984.							
348.15	9.1364	0.13469	1.08E-03	Baker, 1984.							
348.15	12.19	0.202	7.26E-04	Baker, 1984.							
348.15	16.698	0.275	4.84E-04	Baker, 1984.							
348.15	26.212	0.348	3.55E-04	Baker, 1984.							
348.15	49.687	0.422	2.90E-04	Baker, 1984.							
348.15	96.926	0.489	0.00020967	Baker, 1984.							
137 39 T(K)	P(Mpa)	density(g/cm3)	D(cm2/s)	0.565	0.692	0.025	52.451	0.6992	0.8327	553.8	4.08
313	0.1	0.7599	1.92E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
313	10	0.7690	1.73E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
313	20	0.7771	1.54E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
313	30	0.7844	1.41E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
313	40	0.7911	1.25E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
313	50	0.7972	1.16E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
313	60	0.8029	1.04E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
333	0.1	0.7405	2.76E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
333	10	0.7514	2.42E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
333	20	0.7606	2.18E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
333	30	0.7689	1.95E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
333	40	0.7764	1.76E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
333	50	0.7832	1.59E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
333	60	0.7895	1.44E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
333	70	0.7954	1.32E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
333	80	0.8009	1.19E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
333	90	0.8061	1.11E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
333	100	0.8110	1.05E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
358	10	0.7319	3.50E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
358	20	0.7415	3.13E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
358	40	0.7581	2.60E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
358	60	0.7723	2.09E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
358	80	0.7848	1.75E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
358	100	0.7960	1.48E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
358	120	0.8061	1.30E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
358	140	0.8154	1.13E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
358	160	0.8240	1.04E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
383	5	0.6992	5.24E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
383	20	0.7188	4.41E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.							
